12桁	帳簿	直前のAIND	本文冒頭
817356607120	$$$	AIND-D01731	أحمد بن السيد صفي الدين الأيجي مضى في ابن عبد الرحمن بن محمد بن عبد الله .
478800776852	$$$	AIND-D01732	أحمد الشهاب أبو العباس بن الضياء الحنبلي . في ابن أحمد بن الضياء موسى بن إبراهيم بن طرخان .
139036987030	$$$	AIND-D01733	أحمد الشهاب بن أصيل . مضى في ابن محمد بن عثمان .
198243782308	$$$	AIND-D01739	أحمد الأمير الشهاب بن الطبلاوي الوالي . مضى في ابن محمد .
246851571371	$$$	AIND-D01739	أحمد الشهاب بن الطولوني . في ابن محمد بن علي بن عبد الله وفي ولده أحمد بن أحمد .
374274526892	$$$	AIND-D01740	أحمد الشهاب بن المراحل . في ابن محمد بن أحمد .
836847537848	$$$	AIND-D01742	أحمد الشهاب أبو البقاء الزبيري في ابن حسين بن علي .
599227633337	$$$	AIND-D01742	أحمد الشهاب أبو العباس اللجائي المغربي الفاسي المالكي ، مضى في ابن محمد بن عيسى بن علي .
687677116095	$$$	AIND-D01742	أحمد الشهاب أبو العباس المغراوي المغربي . ممن قرأ عليه الشهاب الحجازي وغيره في النحو وغيره . ومضى في ابن محمد .
456155729605	$$$	AIND-D01746	أحمد الشهاب الباريني المحلي الشافعي . ممن تفقه عليه بالمحلة المحب بن الإمام . مضى .
758674099910	$$$	AIND-D01746	أحمد الشهاب البامي ، مضى في ابن محمد بن أحمد بن محمد بن أحمد .
227473886922	$$$	AIND-D01746	أحمد الشهاب البجائي الحميري . في ابن علي بن موسى .
783160446668	$$$	AIND-D01746	أحمد الشهاب البوتيجي . ممن سمع بمكة على التقي بن فهد وهو ابن محمد ابن عبد الرزاق بن محمد ، مضى .
235933798103	$$$	AIND-D01751	أحمد الشهاب الحميري . في البجائي وأنه ابن علي بن موسى .
589454905059	$$$	AIND-D01754	أحمد الشهاب السخاوي . مضى قريبا فيمن يعرف بابن مونن [= AIND-D01741] .
596757188327	$$$	AIND-D01756	أحمد الشهاب الشارعي . مضى في ابن محمد .
549969727218	$$$	AIND-D01757	أحمد الشهاب الطوخي الحنبلي . في ابن عبد الله .
