AIND	12桁	転送先	cert	見出し	原文
AIND-D01755	589454905059	#AIND-D01741		أحمد الشهاب السخاوي	أحمد الشهاب السخاوي . مضى قريبا فيمن يعرف بابن مونن [= AIND-D01741] .
AIND-D01914	965780443372	#AIND-D01925		إسماعيل بن إبراهيم بن جوشن	إسماعيل بن إبراهيم بن جوشن سيأتي فيمن جده محمد .
AIND-D01918	339159814385	#AIND-D01923		إسماعيل بن إبراهيم بن شرف	إسماعيل بن إبراهيم بن شرف . يأتي فيمن جده محمد بن علي بن شرف قريبا .
AIND-D01921	305261216747	#AIND-D01923		إسماعيل بن إبراهيم بن علي بن شرف	إسماعيل بن إبراهيم بن علي بن شرف . يأتي قريبا .
AIND-D01930	387234926859	#AIND-D01919		إسماعيل بن إبراهيم الجبرتي	إسماعيل بن إبراهيم الجبرتي . فيمن جده عبد الصمد .
AIND-D02063	267433021987	#AIND-D02054		الطنبغا القرمشي	الطنبغا القرمشي ، مضى قريبا فيمن يلقب سيف الدين .
AIND-D02425	923170510154	#AIND-D02424		جقمق الأرغون شاوي الدوادار	جقمق الأرغون شاوي الدوادار . ولي نيابة دمشق وابتنى فيها في جوار الجامع الاموي مدرسة تعرف بالجقمقية ثم خرج بها 
AIND-D02480	283191023014	#AIND-D02077	high(2026-09-09閉合)	حاجي بن مغلطاي ويقال له أمير حاج	حاجي بن مغلطاي ويقال له أمير حاج ، مضى في الهمزة .
AIND-D02494	412231957514	#AIND-D05719		حدندل	حدندل ، في على غير منسوب .
AIND-D02510	604575372777	#AIND-D02508		حسن بن إبراهيم الخالدي	حسن بن إبراهيم الخالدي . مضى فيمن جده حسين بن إبراهيم قريبا .
AIND-D02529	471923879121	#AIND-D02658		الحسن بن أمير علي بن سنقر حسام الدين بن غرلو	الحسن بن أمير علي بن سنقر حسام الدين بن غرلو نسبة لجد له من جهة الأم . يأتي في آخر من اسمه حسن .
