AIND	現状	REF化日(commit)	commit	型	転送先	corpus帳簿	見出し	原文(先頭120字)
AIND-D05573	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05552	$	علي بن محمد بن محمد أبو الحسن البسطي	علي بن محمد بن محمد أبو الحسن البسطي . مضى فيمن جده محمد بن علي .
AIND-D05574	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05543	$	علي بن محمد بن محمد الأدمي	علي بن محمد بن محمد الأدمي . فيمن جده محمد بن أحمد .
AIND-D05575	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05552	$	علي بن محمد بن محمد الأندلسي القلصاوي الحيوب البسطي	علي ابن محمد بن محمد الأندلسي القلصاوي الحيوب هو البسطي مضى فيمن جده محمد بن علي .
AIND-D05576	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D09382	$	علي بن محمد بن محمد الدلجي الأصل القاهري الوزيري المهتار فطيس	علي بن محمد بن محمد الدلجي الأصل القاهري الوزيري المهتار فطيس . يأتي له ذكر في أبيه .
AIND-D05577	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05337	$	علي بن محمد بن محمود بن حميدان	علي بن محمد بن محمود بن حميدان . في ابن أبي الفرج .
AIND-D05585	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05566	$	علي بن محمد بن وفا أبو الحسن الشاذلي	علي بن محمد بن وفا أبو الحسن الشاذلي . مضى في ابن محمد بن وفا .
AIND-D05603	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05281	$	علي بن محمد نور الدين المقري ابن القاصح	علي بن محمد نور الدين المقري ابن القاصح . كذا ذكره شيخنا في إنبائه . وصوابه ابن عثمان بن محمد بن أحمد وقد مضى .
AIND-D05607	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05429	$	علي بن محمد العلاء أبو الحسن بن الجندي المحلي الحنفي النقيب	علي بن محمد العلاء أبو الحسن بن الجندي المحلي الحنفي النقيب . فيمن جده خضر بن أيوب
AIND-D05609	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05464	$	علي بن محمد النور أبو الحسن الإشليمي	علي بن محمد النور أبو الحسن الإشليمي . فيمن جده عثمان بن أيوب بن عثمان .
AIND-D05610	REF	2026-09-05	6001a0b	転送指示あり	#AIND-D05526	$	علي بن محمد النور أبو الحسن الأشمعوني	علي بن محمد النور أبو الحسن الأشمعوني . مضى فيمن جده عيسى .
AIND-D05619	REF	2026-08-21	1a65014	転送指示あり	#AIND-D05422	$$$	علي بن ناصر الدين محمد الغمري	علي بن ناصر الدين محمد الغمري . مضى في ابن محمد بن حسن بن محمد بن حسن .
AIND-D05622	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05543	$	علي بن محمد بن الأدمي الحنفي	علي بن محمد بن الأدمي الحنفي . فيمن اسم جده محمد بن أحمد .
AIND-D05624	REF	2026-09-03	76772dd	転送指示あり	#AIND-D05393	$	علي بن محمد الأقواسي	علي بن محمد الأقواسي . فيمن جده أحمد .
